"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"dscovr:DSCOVR_Parameters:1             ","Class","DSCOVR_Parameters","1.0.0.0","dscovr"," This is a container class holding all the DSCOVR-specific attributes and classes. ","img","","","","","","","","","","",""
"dscovr:EPIC_Parameters:1               ","Class","EPIC_Parameters","1.0.0.0","dscovr"," This is a container class holding all the camera-specific parameters for the EPIC (Earth Polychromatic Imaging Camera) on the DSCOVR mission. EPIC data of Earth is archived at the ASDC (Atmospheric Science Data Center). However, ASDC was unable to accept lunar images, so those are being archived in PDS in order to make them publicly available. Because of this history, the metadata descriptions in this class are largely direct transcriptions from the original HDF label, with minimal descriptions (in some cases insufficient for proper interpretation). Please see the DSCOVR-EPIC documentation either in the bundle or at ASDC for better explanations of this metadata. ","img","","","","","","","","","","",""
"dscovr:Image_Parameters:1              ","Class","Image_Parameters","1.0.0.0","dscovr"," This class holds information about the EPIC camera that are not captured in the IMG dictionary. ","img","","","","","","","","","","",""
"dscovr:Image_Parameters:2               dscovr:ccd_pixel_size:1                ","Attribute","ccd_pixel_size","n/a","dscovr"," CCD pixel size. See the EPIC documentation. ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dscovr:Image_Parameters:2               dscovr:ccd_read_mode:1                 ","Attribute","ccd_read_mode","n/a","dscovr"," Indicates CCD read mode. Default is 51 (Mode 3). See the EPIC documentation. ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dscovr:Image_Parameters:2               dscovr:revision_number:1               ","Attribute","revision_number","n/a","dscovr"," Revision number of data set. ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dscovr:Optical_Coefficient:1           ","Class","Optical_Coefficient","1.0.0.0","dscovr"," This class holds information about the optical coefficients of the EPIC camera. See the EPIC documentation for details. ","img","","","","","","","","","","",""
"dscovr:Optical_Coefficient:2            dscovr:a:1                             ","Attribute","a","n/a","dscovr"," EPIC optical coefficient ""a"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:b:1                             ","Attribute","b","n/a","dscovr"," EPIC optical coefficient ""b"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:k1:1                            ","Attribute","k1","n/a","dscovr"," EPIC optical coefficient ""k1"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:k2:1                            ","Attribute","k2","n/a","dscovr"," EPIC optical coefficient ""k2"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:k3:1                            ","Attribute","k3","n/a","dscovr"," EPIC optical coefficient ""k3"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:p1:1                            ","Attribute","p1","n/a","dscovr"," EPIC optical coefficient ""p1"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:p2:1                            ","Attribute","p2","n/a","dscovr"," EPIC optical coefficient ""p2"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:p3:1                            ","Attribute","p3","n/a","dscovr"," EPIC optical coefficient ""p3"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:p4:1                            ","Attribute","p4","n/a","dscovr"," EPIC optical coefficient ""p4"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:xc:1                            ","Attribute","xc","n/a","dscovr"," EPIC optical coefficient ""xc"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Optical_Coefficient:2            dscovr:yc:1                            ","Attribute","yc","n/a","dscovr"," EPIC optical coefficient ""yc"". See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:1             ","Class","Lunar_Geolocation","1.0.0.0","dscovr"," This class holds information about the geolocation of EPIC images of the moon. See the EPIC documentation for more information on how to interpret these. ","img","","","","","","","","","","",""
"dscovr:Lunar_Geolocation:2              dscovr:apparent_sidereal_time:1        ","Attribute","apparent_sidereal_time","n/a","dscovr"," Apparent sidereal time. See the EPIC documentation. ","img","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:corrected_rotation_x:1          ","Attribute","corrected_rotation_x","n/a","dscovr"," Corrected X rotation solution for transformation from ECR coordinates to spacecraft view. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
